z,prep (post kz-fft),nufft,lam0.02,lam0.08,lam0.25,glam0.02,glam0.08,glam0.25,b1_den_median
4.000000000000000000e+01,1.821184559958055615e-05,9.370845873490907252e-06,1.689344571786932647e-05,1.667735705268569291e-05,1.441866334062069654e-05,1.687030635366681963e-05,1.627456549613270909e-05,1.400937162543414161e-05,1.204868435859680176e+00
4.100000000000000000e+01,1.798812263587024063e-05,8.759696356719359756e-06,1.580091156938578933e-05,1.576907197886612266e-05,1.583289849804714322e-05,1.584169694979209453e-05,1.564357989991549402e-05,1.312634776695631444e-05,1.331116676330566406e+00
4.200000000000000000e+01,1.770030939951539040e-05,8.826942575979046524e-06,1.595271533005870879e-05,1.584538586030248553e-05,1.334371063421713188e-05,1.592597982380539179e-05,1.579505442350637168e-05,1.320389765169238672e-05,1.268450260162353516e+00
4.300000000000000000e+01,1.720287764328531921e-05,8.787476872385013849e-06,1.569517007737886161e-05,1.565770435263402760e-05,1.313343000219902024e-05,1.570986387378070503e-05,1.559987867949530482e-05,1.301055726798949763e-05,1.235780954360961914e+00
4.400000000000000000e+01,1.651904676691628993e-05,8.684562999405898154e-06,1.548327418277040124e-05,1.532933492853771895e-05,1.438690833310829476e-05,1.547265856061130762e-05,1.514464020146988332e-05,1.327085101365810260e-05,1.189817667007446289e+00
4.500000000000000000e+01,1.592855551280081272e-05,8.101634193735662848e-06,1.435188096365891397e-05,1.427216193405911326e-05,1.336960485787130892e-05,1.438104936823947355e-05,1.404596878273878247e-05,1.233486455021193251e-05,1.268961548805236816e+00
4.600000000000000000e+01,1.548866566736251116e-05,8.078563041635788977e-06,1.431878445146139711e-05,1.404660270054591820e-05,1.335467641183640808e-05,1.435700050933519378e-05,1.397813684889115393e-05,1.225475443789036945e-05,1.208660840988159180e+00
4.700000000000000000e+01,1.512675498815951869e-05,7.819920938345603645e-06,1.401222380081890151e-05,1.379889272357104346e-05,1.305801924900151789e-05,1.399974826199468225e-05,1.367055574519326910e-05,1.199329744849819690e-05,1.219484090805053711e+00
4.800000000000000000e+01,1.461211195419309661e-05,7.233350970636820421e-06,1.293094828724861145e-05,1.276374587177997455e-05,1.154250185209093615e-05,1.295052243222016841e-05,1.265477203560294583e-05,1.131879616877995431e-05,1.335356116294860840e+00
4.900000000000000000e+01,1.363631417916622013e-05,7.013353297224966809e-06,1.245428848051233217e-05,1.231877922691637650e-05,1.158406939794076607e-05,1.247064119525020942e-05,1.220658123202156276e-05,1.087211148842470720e-05,1.250546097755432129e+00
5.000000000000000000e+01,1.240110213984735310e-05,6.166728326206794009e-06,1.086562042473815382e-05,1.084784526028670371e-05,9.081954885914456099e-06,1.092005186364986002e-05,1.032650015986291692e-05,9.424023119208868593e-06,1.342536687850952148e+00
5.100000000000000000e+01,1.154978053818922490e-05,5.801007318950723857e-06,1.032952422974631190e-05,1.028338920150417835e-05,9.539930033497512341e-06,1.035299646900966763e-05,9.605042578186839819e-06,7.347294740611687303e-06,1.289163470268249512e+00
5.200000000000000000e+01,1.110878110921476036e-05,5.603539648291189224e-06,1.003702982416143641e-05,1.000461361400084570e-05,9.312484507972840220e-06,1.001856253424193710e-05,9.374678484164178371e-06,7.167035164457047358e-06,1.263521909713745117e+00
