t_s,nufft,lam0.02,lam0.08,lam0.25,glam0.02,glam0.08,glam0.25
1.714705039206631341e+02,2.845083508873358369e-05,5.529089685296639800e-05,5.403434624895453453e-05,4.973586692358367145e-05,5.515723387361504138e-05,5.449680611491203308e-05,4.898141924059018493e-05
1.751022543819177315e+02,2.618195321701932698e-05,5.469992174766957760e-05,5.418684304459020495e-05,4.910980351269245148e-05,5.442799738375470042e-05,5.462527042254805565e-05,4.860673652729019523e-05
1.787340048431723289e+02,3.005885264428798109e-05,5.945630255155265331e-05,5.538274126593023539e-05,4.925064058625139296e-05,5.992795922793447971e-05,5.720154877053573728e-05,4.862574132857844234e-05
1.823657553044268980e+02,2.785122160275932401e-05,5.600838630925863981e-05,5.465194772114045918e-05,4.914975579595193267e-05,5.620182491838932037e-05,5.549102206714451313e-05,4.855443694395944476e-05
1.859975057656814954e+02,2.649891575856599957e-05,5.575265095103532076e-05,5.424878327175974846e-05,4.891381831839680672e-05,5.595617039944045246e-05,5.511382914846763015e-05,4.829201861866749823e-05
1.896292562269360928e+02,2.785721699183341116e-05,5.550291098188608885e-05,5.373144085751846433e-05,4.837918822886422276e-05,5.569327549892477691e-05,5.486017107614316046e-05,4.778349830303341150e-05
1.932610066881906903e+02,2.390374538663309067e-05,5.139436689205467701e-05,5.138154301675967872e-05,4.734176400233991444e-05,5.120101195643655956e-05,5.187060742173343897e-05,4.686005195253528655e-05
1.968927571494452593e+02,2.741773460002150387e-05,5.339077688404358923e-05,5.213747499510645866e-05,4.732843444799073040e-05,5.329628766048699617e-05,5.279569450067356229e-05,4.685456588049419224e-05
2.005245076106998567e+02,2.842558023985475302e-05,5.437944491859525442e-05,5.229043745202943683e-05,4.736869595944881439e-05,5.441562825581058860e-05,5.316612805472686887e-05,4.681402060668915510e-05
2.041562580719544542e+02,2.683986349438782781e-05,5.431651879916898906e-05,5.236377546680159867e-05,4.737440758617594838e-05,5.422750109573826194e-05,5.322391007211990654e-05,4.671883652918040752e-05
2.077880085332090232e+02,2.726296224864199758e-05,5.456400685943663120e-05,5.251239781500771642e-05,4.730016007670201361e-05,5.457049701362848282e-05,5.327327380655333400e-05,4.676418029703199863e-05
2.114197589944636206e+02,2.651151044119615108e-05,5.330237763701006770e-05,5.176064587431028485e-05,4.692028596764430404e-05,5.324736775946803391e-05,5.220290768193081021e-05,4.591222386807203293e-05
2.150515094557182181e+02,2.615069752209819853e-05,5.420744128059595823e-05,5.215326018515042961e-05,4.665237793233245611e-05,5.413473263615742326e-05,5.324064477463252842e-05,4.567839641822502017e-05
2.186832599169728155e+02,2.830740777426399291e-05,5.461617183755151927e-05,5.227688234299421310e-05,4.670269117923453450e-05,5.501508348970673978e-05,5.323474761098623276e-05,4.567476571537554264e-05
2.223150103782273845e+02,2.624574699439108372e-05,5.227704969001933932e-05,5.174643592908978462e-05,4.659961268771439791e-05,5.237809091340750456e-05,5.233927731751464307e-05,4.553981852950528264e-05
2.259467608394819820e+02,2.451179534546099603e-05,5.134012462804093957e-05,5.027491715736687183e-05,4.639224789571017027e-05,5.145461182110011578e-05,5.064375000074505806e-05,4.527258715825155377e-05
2.295785113007365794e+02,2.575694816187024117e-05,5.204284389037638903e-05,5.010229142499156296e-05,4.580677341436967254e-05,5.206944479141384363e-05,5.112854341859929264e-05,4.492367588682100177e-05
2.332102617619911769e+02,2.567819319665431976e-05,5.196217534830793738e-05,5.008233711123466492e-05,4.518636706052348018e-05,5.203059117775410414e-05,5.085450902697630227e-05,4.485538374865427613e-05
2.368420122232457459e+02,2.616824531287420541e-05,5.194715777179226279e-05,5.002379839424975216e-05,4.530920705292373896e-05,5.187599163036793470e-05,5.085987504571676254e-05,4.474275556276552379e-05
2.404737626845003433e+02,2.639754529809579253e-05,5.239813253865577281e-05,5.008781590731814504e-05,4.545809497358277440e-05,5.233808042248710990e-05,5.101806164020672441e-05,4.490602805162779987e-05
2.441055131457549408e+02,2.559934728196822107e-05,5.141790097695775330e-05,4.993105903849937022e-05,4.549400910036638379e-05,5.130541103426367044e-05,5.077457535662688315e-05,4.495298344409093261e-05
2.477372636070095382e+02,2.656549622770398855e-05,5.153775418875738978e-05,4.985092527931556106e-05,4.528566205408424139e-05,5.160890577826648951e-05,5.075177250546403229e-05,4.494623863138258457e-05
2.513690140682641072e+02,2.489603139110840857e-05,5.039591633249074221e-05,4.946099215885624290e-05,4.534965410130098462e-05,4.998996519134379923e-05,5.052861524745821953e-05,4.498506314121186733e-05
2.550007645295187046e+02,2.586459595477208495e-05,5.163126479601487517e-05,4.980039375368505716e-05,4.528927456703968346e-05,5.182396489544771612e-05,5.065318327979184687e-05,4.504328535404056311e-05
2.586325149907733021e+02,2.623729596962220967e-05,5.172064993530511856e-05,4.970916779711842537e-05,4.544117837212979794e-05,5.179782601771876216e-05,5.073366264696232975e-05,4.504376556724309921e-05
2.622642654520278711e+02,2.559705717430915684e-05,5.107471224619075656e-05,4.959803482051938772e-05,4.538516441243700683e-05,5.093182699056342244e-05,5.074998261989094317e-05,4.499984061112627387e-05
2.658960159132824970e+02,2.479672912159003317e-05,5.107688048155978322e-05,4.939840437145903707e-05,4.536999767879024148e-05,5.102979775983840227e-05,5.043818964622914791e-05,4.502758383750915527e-05
2.695277663745370660e+02,2.620761006255634129e-05,5.124097515363246202e-05,4.936279219691641629e-05,4.531798185780644417e-05,5.125350435264408588e-05,5.022189725423231721e-05,4.498383714235387743e-05
2.731595168357916350e+02,2.381554804742336273e-05,5.057873931946232915e-05,4.924213862977921963e-05,4.515289401751942933e-05,5.063658318249508739e-05,5.008974767406471074e-05,4.471357533475384116e-05
