frame,time_s,NIK-F0_NRMSE,NIK-F0_SSIM,NIK-F0_PSNR,NIK-F0_HaarPSI,NIK-sub5_NRMSE,NIK-sub5_SSIM,NIK-sub5_PSNR,NIK-sub5_HaarPSI,NIK-sub12_NRMSE,NIK-sub12_SSIM,NIK-sub12_PSNR,NIK-sub12_HaarPSI,NIK-sub16_NRMSE,NIK-sub16_SSIM,NIK-sub16_PSNR,NIK-sub16_HaarPSI,NIK-free_NRMSE,NIK-free_SSIM,NIK-free_PSNR,NIK-free_HaarPSI,GRASP-Pro_NRMSE,GRASP-Pro_SSIM,GRASP-Pro_PSNR,GRASP-Pro_HaarPSI,CS-file_NRMSE,CS-file_SSIM,CS-file_PSNR,CS-file_HaarPSI
70,36.80,0.0512,0.8802,25.8146,0.6583,0.0420,0.8816,27.5409,0.6471,0.0446,0.8610,27.0087,0.6785,0.0239,0.9158,32.4155,0.7070,0.0279,0.8897,31.0919,0.6073,0.0207,0.9674,33.6686,0.8106,0.0381,0.8213,28.3776,0.5356
71,37.32,0.0505,0.8810,25.9368,0.6593,0.0413,0.8844,27.6829,0.6516,0.0417,0.8709,27.6054,0.6854,0.0238,0.9166,32.4648,0.7102,0.0276,0.8915,31.1806,0.6109,0.0319,0.9618,29.9362,0.7966,0.0376,0.8239,28.4860,0.5469
72,37.84,0.0494,0.8822,26.1288,0.6606,0.0402,0.8878,27.9055,0.6566,0.0385,0.8802,28.2866,0.6916,0.0238,0.9173,32.4721,0.7137,0.0272,0.8939,31.2997,0.6156,0.0281,0.9657,31.0336,0.8197,0.0366,0.8247,28.7393,0.5391
73,38.36,0.0479,0.8839,26.4003,0.6623,0.0389,0.8916,28.2027,0.6628,0.0354,0.8887,29.0127,0.6972,0.0238,0.9182,32.4858,0.7172,0.0267,0.8967,31.4581,0.6213,0.0210,0.9713,33.5499,0.8349,0.0356,0.8298,28.9711,0.5535
74,38.88,0.0459,0.8861,26.7588,0.6647,0.0372,0.8961,28.5814,0.6708,0.0325,0.8965,29.7491,0.7030,0.0236,0.9195,32.5551,0.7214,0.0261,0.9001,31.6577,0.6283,0.0287,0.9639,30.8451,0.8184,0.0343,0.8356,29.2927,0.5651
75,39.40,0.0436,0.8889,27.2078,0.6679,0.0352,0.9011,29.0586,0.6805,0.0299,0.9038,30.4790,0.7095,0.0231,0.9214,32.7189,0.7270,0.0254,0.9037,31.8915,0.6357,0.0191,0.9723,34.3763,0.8508,0.0326,0.8435,29.7462,0.5615
76,39.93,0.0409,0.8925,27.7577,0.6716,0.0329,0.9067,29.6666,0.6915,0.0275,0.9108,31.2162,0.7171,0.0224,0.9237,32.9932,0.7339,0.0247,0.9075,32.1465,0.6441,0.0196,0.9752,34.1421,0.8580,0.0312,0.8481,30.1232,0.5768
77,40.45,0.0380,0.8968,28.3960,0.6766,0.0302,0.9125,30.4131,0.7031,0.0252,0.9172,31.9572,0.7245,0.0215,0.9263,33.3601,0.7421,0.0240,0.9113,32.4028,0.6533,0.0200,0.9730,33.9871,0.8512,0.0295,0.8514,30.5952,0.5823
78,40.97,0.0351,0.9017,29.0920,0.6826,0.0273,0.9180,31.2796,0.7138,0.0232,0.9229,32.6740,0.7312,0.0205,0.9288,33.7773,0.7500,0.0233,0.9147,32.6353,0.6622,0.0108,0.9800,39.2943,0.8765,0.0277,0.8592,31.1449,0.5869
79,41.49,0.0324,0.9069,29.7795,0.6891,0.0245,0.9228,32.2000,0.7224,0.0216,0.9273,33.3023,0.7376,0.0195,0.9309,34.1797,0.7560,0.0229,0.9176,32.8136,0.6695,0.0148,0.9803,36.5782,0.8826,0.0264,0.8651,31.5651,0.5930
